Code NACRES;Montant;Element d'OTP;Centre de couts;Departement;Laboratoire
BB.41;75,42;;BIO_IB1;Biologie;IBENS
ND.13;8 820,00;PL_IBENS-OTP-01;BIO_IB1;Biologie;IBENS
ND.13;660,40;PL_IBENS-OTP-01;BIO_IB1;Biologie;IBENS
ND.13;650,00;PL_IBENS-OTP-01;BIO_IB1;Biologie;IBENS
ND.13;429,40;PL_IBENS-OTP-01;BIO_IB1;Biologie;IBENS
ND.13;200,00;PL_IBENS-OTP-01;BIO_IB1;Biologie;IBENS
ND.13;161,28;PL_IBENS-OTP-01;BIO_IB1;Biologie;IBENS
ND.13;30,24;PL_IBENS-OTP-01;BIO_IB1;Biologie;IBENS
ND.13;7,30;PL_IBENS-OTP-01;BIO_IB1;Biologie;IBENS
ND.13;1 054,08;PL_IBENS-OTP-01;BIO_IB1;Biologie;IBENS
BE.15;160,00;;BIO_IB1;Biologie;IBENS
BE.15;720,00;;BIO_IB1;Biologie;IBENS
AA.12;67,50;PL_IBENS-OTP-01;BIO_IB1;Biologie;IBENS
NC.16;39 506,40;OP22-144-OTP-01;BIO_IB_CR;Biologie;IBENS
NC.16;0,10;PL_GENOM-OTP-01;BIO_IB1;Biologie;IBENS
KG.12;2 628,00;OP20-039-OTP-01;BIO_IB_CR;Biologie;IBENS
DC.01;55,00;PL_GENOM-OTP-01;BIO_IB1;Biologie;IBENS
DC.01;64,00;PL_GENOM-OTP-01;BIO_IB1;Biologie;IBENS
NA.21;451,00;PL_IBENS-OTP-01;BIO_IB1;Biologie;IBENS
GA.05;90,99;PL_IBENS-OTP-01;BIO_IB1;Biologie;IBENS
XD.61;30,00;PL_IBENS-OTP-01;BIO_IB1;Biologie;IBENS
ND.13;1 176,96;PL_IBENS-OTP-01;BIO_IB1;Biologie;IBENS
MB.05;100,00;PL_IBENS-OTP-01;BIO_IB1;Biologie;IBENS
XD.61;18,00;PL_IBENS-OTP-01;BIO_IB1;Biologie;IBENS
JB.01;180,00;PL_IBENS-OTP-01;BIO_IB1;Biologie;IBENS
JB.01;125,00;PL_IBENS-OTP-01;BIO_IB1;Biologie;IBENS
KA.02;1 820,64;OP20-128-OTP-01;BIO_IB_CR;Biologie;IBENS
FC.11;1 893,00;OP20-128-OTP-01;BIO_IB_CR;Biologie;IBENS
FA.02;35,76;OP20-128-OTP-01;BIO_IB_CR;Biologie;IBENS
GA.05;84,66;OP20-024-OTP-01;BIO_IB_CR;Biologie;IBENS
GA.05;63,00;OP20-024-OTP-01;BIO_IB_CR;Biologie;IBENS
GA.05;25,00;OP20-024-OTP-01;BIO_IB_CR;Biologie;IBENS
XC.26;3 000,00;OP16-045-OTP-01;BIO_IB_CR;Biologie;IBENS
DC.12;1 545,45;OP23-118-OTP-01;BIO_IB_CR;Biologie;IBENS
XC.26;2 000,00;OP16-045-OTP-01;BIO_IB_CR;Biologie;IBENS
XC.26;100,00;OP16-045-OTP-01;BIO_IB_CR;Biologie;IBENS
XC.21;28 800,00;OP16-045-OTP-01;BIO_IB_CR;Biologie;IBENS
XC.21;1 440,00;OP16-045-OTP-01;BIO_IB_CR;Biologie;IBENS
XC.21;27 686,00;OP16-045-OTP-01;BIO_IB_CR;Biologie;IBENS
XC.21;831,00;OP16-045-OTP-01;BIO_IB_CR;Biologie;IBENS
XC.21;38 015,00;OP16-045-OTP-01;BIO_IB_CR;Biologie;IBENS
XC.21;1 140,00;OP16-045-OTP-01;BIO_IB_CR;Biologie;IBENS
XC.21;40 000,00;OP16-045-OTP-01;BIO_IB_CR;Biologie;IBENS
XC.21;2 000,00;OP16-045-OTP-01;BIO_IB_CR;Biologie;IBENS
NA.55;402,05;OP23-001-OTP-01;BIO_IB_CR;Biologie;IBENS
NA.55;378,60;OP23-001-OTP-01;BIO_IB_CR;Biologie;IBENS
NA.55;1 015,05;OP23-001-OTP-01;BIO_IB_CR;Biologie;IBENS
XD.61;48,00;OP23-001-OTP-01;BIO_IB_CR;Biologie;IBENS
NA.28;432,00;OP23-001-OTP-01;BIO_IB_CR;Biologie;IBENS
NA.28;195,00;OP23-001-OTP-01;BIO_IB_CR;Biologie;IBENS
XD.61;35,00;OP23-001-OTP-01;BIO_IB_CR;Biologie;IBENS
NA.28;290,00;OP23-001-OTP-01;BIO_IB_CR;Biologie;IBENS
XD.61;35,00;OP23-001-OTP-01;BIO_IB_CR;Biologie;IBENS
XD.01;240,00;;BIO_IB1;Biologie;IBENS
XD.01;412,00;;BIO_IB1;Biologie;IBENS
XD.01;39,12;;BIO_IB1;Biologie;IBENS
NA.31;704,62;PL_GENOM-OTP-01;BIO_IB1;Biologie;IBENS
NA.31;704,62;PL_GENOM-OTP-01;BIO_IB1;Biologie;IBENS
NA.31;98,00;PL_GENOM-OTP-01;BIO_IB1;Biologie;IBENS
NA.31;1 355,34;PL_GENOM-OTP-01;BIO_IB1;Biologie;IBENS
NA.31;1 355,34;PL_GENOM-OTP-01;BIO_IB1;Biologie;IBENS
XC.21;29 608,00;OP16-045-OTP-01;BIO_IB_CR;Biologie;IBENS
XC.21;1 481,00;OP16-045-OTP-01;BIO_IB_CR;Biologie;IBENS
KA.02;2 990,18;OP20-128-OTP-01;BIO_IB_CR;Biologie;IBENS
NA.25;363,60;PL_IBENS-OTP-01;BIO_IB1;Biologie;IBENS
AA.63;1 546,92;OP23-118-OTP-01;BIO_IB_CR;Biologie;IBENS
KF.02;295,00;PL_IBENS-OTP-01;BIO_IB1;Biologie;IBENS
KF.02;3 835,00;PL_IBENS-OTP-01;BIO_IB1;Biologie;IBENS
KF.02;260,00;PL_IBENS-OTP-01;BIO_IB1;Biologie;IBENS
KF.02;58,13;PL_IBENS-OTP-01;BIO_IB1;Biologie;IBENS
KF.02;108,20;PL_IBENS-OTP-01;BIO_IB1;Biologie;IBENS
KF.02;45,00;PL_IBENS-OTP-01;BIO_IB1;Biologie;IBENS
HB.01;1 438,68;PL_IBENS-OTP-01;BIO_IB1;Biologie;IBENS
HB.01;650,00;PL_IBENS-OTP-01;BIO_IB1;Biologie;IBENS
HB.01;390,00;PL_IBENS-OTP-01;BIO_IB1;Biologie;IBENS
HB.01;45,00;PL_IBENS-OTP-01;BIO_IB1;Biologie;IBENS
BD.24;1 390,00;PL_IBENS-OTP-01;BIO_IB1;Biologie;IBENS
BD.24;70,00;PL_IBENS-OTP-01;BIO_IB1;Biologie;IBENS
BD.24;1 040,00;PL_IBENS-OTP-01;BIO_IB1;Biologie;IBENS
XC.14;2 190,00;OP19-116-OTP-01;BIO_IB_CR;Biologie;IBENS
XC.14;55,00;OP19-116-OTP-01;BIO_IB_CR;Biologie;IBENS
SE.15;1 289,00;OP21-135-OTP-01;BIO_IB_CR;Biologie;IBENS
XD.61;80,00;OP21-135-OTP-01;BIO_IB_CR;Biologie;IBENS
DC.01;71,00;PL_GENOM-OTP-01;BIO_IB1;Biologie;IBENS
XD.61;85,00;PL_IBENS-OTP-01;BIO_IB1;Biologie;IBENS
QA.11;375,90;PL_IBENS-OTP-01;BIO_IB1;Biologie;IBENS
AB.01;77,70;PL_IBENS-OTP-01;BIO_IB1;Biologie;IBENS
BB.02;30,75;PL_IBENS-OTP-01;BIO_IB1;Biologie;IBENS
DC.01;114,00;;BIO_IB1;Biologie;IBENS
QA.24;350,96;PL_IBENS-OTP-01;BIO_IB1;Biologie;IBENS
XD.61;29,00;PL_IBENS-OTP-01;BIO_IB1;Biologie;IBENS
XC.26;2 000,00;OP16-045-OTP-01;BIO_IB_CR;Biologie;IBENS
XC.01;420,00;OP20-010-OTP-01;BIO_IB_CR;Biologie;IBENS
IB.11;74,99;PL_GENOM-OTP-01;BIO_IB1;Biologie;IBENS
CB.01;130,25;PL_GENOM-OTP-01;BIO_IB1;Biologie;IBENS
IB.12;61,08;OP22-103-OTP-01;BIO_IB_CR;Biologie;IBENS
DC.01;1 245,72;OP17-123-OTP-01;BIO_IB_CR;Biologie;IBENS
NA.31;180,00;PL_GENOM-OTP-01;BIO_IB1;Biologie;IBENS
NA.31;234,00;PL_GENOM-OTP-01;BIO_IB1;Biologie;IBENS
XD.61;48,00;PL_GENOM-OTP-01;BIO_IB1;Biologie;IBENS
XC.01;327,73;;BIO_IB1;Biologie;IBENS
XC.01;4,59;;BIO_IB1;Biologie;IBENS
XC.01;2,64;;BIO_IB1;Biologie;IBENS
AA.64;40,46;OP16-045-OTP-01;BIO_IB_CR;Biologie;IBENS
AA.64;154,10;OP16-045-OTP-01;BIO_IB_CR;Biologie;IBENS
AA.64;132,10;OP16-045-OTP-01;BIO_IB_CR;Biologie;IBENS
NA.41;536,00;OP20-128-OTP-01;BIO_IB_CR;Biologie;IBENS
NA.41;412,00;OP20-128-OTP-01;BIO_IB_CR;Biologie;IBENS
NA.41;536,00;OP20-128-OTP-01;BIO_IB_CR;Biologie;IBENS
XD.61;65,00;OP20-128-OTP-01;BIO_IB_CR;Biologie;IBENS
XD.61;50,00;OP20-128-OTP-01;BIO_IB_CR;Biologie;IBENS
XD.61;65,00;OP20-128-OTP-01;BIO_IB_CR;Biologie;IBENS
NA.56;1 472,00;OP23-001-OTP-01;BIO_IB_CR;Biologie;IBENS
XD.61;26,00;OP23-001-OTP-01;BIO_IB_CR;Biologie;IBENS
NA.41;568,75;OP22-120-OTP-01;BIO_IB_CR;Biologie;IBENS
NA.41;578,76;OP22-120-OTP-01;BIO_IB_CR;Biologie;IBENS
NA.41;533,26;OP22-120-OTP-01;BIO_IB_CR;Biologie;IBENS
NA.41;86,40;OP22-120-OTP-01;BIO_IB_CR;Biologie;IBENS
NA.41;104,65;OP22-120-OTP-01;BIO_IB_CR;Biologie;IBENS
XD.61;80,00;OP22-120-OTP-01;BIO_IB_CR;Biologie;IBENS
NA.77;115,00;OP20-061-OTP-01;BIO_IB_CR;Biologie;IBENS
NA.77;158,00;OP20-061-OTP-01;BIO_IB_CR;Biologie;IBENS
XD.61;25,00;OP20-061-OTP-01;BIO_IB_CR;Biologie;IBENS
NA.31;2 529,12;OP22-102-OTP-01;BIO_IB_CR;Biologie;IBENS
NA.31;4 005,76;OP22-102-OTP-01;BIO_IB_CR;Biologie;IBENS
NA.31;2 709,67;OP22-102-OTP-01;BIO_IB_CR;Biologie;IBENS
NA.41;215,90;OP20-128-OTP-01;BIO_IB_CR;Biologie;IBENS
NA.41;499,80;OP20-128-OTP-01;BIO_IB_CR;Biologie;IBENS
NA.41;340,86;OP20-128-OTP-01;BIO_IB_CR;Biologie;IBENS
NA.41;170,43;OP20-128-OTP-01;BIO_IB_CR;Biologie;IBENS
NA.41;742,05;OP20-128-OTP-01;BIO_IB_CR;Biologie;IBENS
NA.41;808,35;OP20-128-OTP-01;BIO_IB_CR;Biologie;IBENS
NA.41;192,95;OP20-128-OTP-01;BIO_IB_CR;Biologie;IBENS
NA.41;578,85;OP20-128-OTP-01;BIO_IB_CR;Biologie;IBENS
NA.41;192,95;OP20-128-OTP-01;BIO_IB_CR;Biologie;IBENS
NA.41;538,90;OP20-128-OTP-01;BIO_IB_CR;Biologie;IBENS
NA.41;771,80;OP20-128-OTP-01;BIO_IB_CR;Biologie;IBENS
NA.28;64,50;OP20-128-OTP-01;BIO_IB_CR;Biologie;IBENS
NA.41;578,85;OP20-128-OTP-01;BIO_IB_CR;Biologie;IBENS
NA.41;385,90;OP20-128-OTP-01;BIO_IB_CR;Biologie;IBENS
NA.41;192,95;OP20-128-OTP-01;BIO_IB_CR;Biologie;IBENS
NA.41;538,90;OP20-128-OTP-01;BIO_IB_CR;Biologie;IBENS
DC.01;630,15;OP17-123-OTP-01;BIO_IB_CR;Biologie;IBENS
HA.02;202,00;PL_IBENS-OTP-01;BIO_IB1;Biologie;IBENS
HA.11;134,32;PL_IBENS-OTP-01;BIO_IB1;Biologie;IBENS
XD.61;22,00;PL_IBENS-OTP-01;BIO_IB1;Biologie;IBENS
NB.83;25 840,00;;BIO_IB1;Biologie;IBENS
NB.17;935,10;OP20-128-OTP-01;BIO_IB_CR;Biologie;IBENS
NA.25;313,20;OP20-128-OTP-01;BIO_IB_CR;Biologie;IBENS
NA.25;393,50;OP20-128-OTP-01;BIO_IB_CR;Biologie;IBENS
NB.17;435,00;OP20-128-OTP-01;BIO_IB_CR;Biologie;IBENS
NA.25;435,00;OP20-128-OTP-01;BIO_IB_CR;Biologie;IBENS
ID.19;96,64;PL_GENOM-OTP-01;BIO_IB1;Biologie;IBENS
BB.32;1 406,44;;BIO_IB1;Biologie;IBENS
BB.32;1 742,41;;BIO_IB1;Biologie;IBENS
NA.31;1 564,64;OP22-102-OTP-01;BIO_IB_CR;Biologie;IBENS
NA.31;2 808,40;PL_GENOM-OTP-01;BIO_IB1;Biologie;IBENS
NA.31;25,00;PL_GENOM-OTP-01;BIO_IB1;Biologie;IBENS
JB.01;490,00;PL_IBENS-OTP-01;BIO_IB1;Biologie;IBENS
JB.01;878,34;PL_IBENS-OTP-01;BIO_IB1;Biologie;IBENS
JB.01;125,00;PL_IBENS-OTP-01;BIO_IB1;Biologie;IBENS
ND.11;5 850,00;PL_IBENS-OTP-01;BIO_IB1;Biologie;IBENS
DC.01;259,51;OP20-013-OTP-01;BIO_IB_CR;Biologie;IBENS
ND.13;548,30;PL_IBENS-OTP-01;BIO_IB1;Biologie;IBENS
ND.13;146,75;PL_IBENS-OTP-01;BIO_IB1;Biologie;IBENS
ND.13;51,10;PL_IBENS-OTP-01;BIO_IB1;Biologie;IBENS
ND.13;58,66;PL_IBENS-OTP-01;BIO_IB1;Biologie;IBENS
ND.13;1 641,11;PL_IBENS-OTP-01;BIO_IB1;Biologie;IBENS
ND.13;365,53;PL_IBENS-OTP-01;BIO_IB1;Biologie;IBENS
ND.13;132,08;PL_IBENS-OTP-01;BIO_IB1;Biologie;IBENS
DC.01;558,24;OP20-013-OTP-01;BIO_IB_CR;Biologie;IBENS
NA.51;375,00;OP22-017-OTP-01;BIO_IB_CR;Biologie;IBENS
NA.51;30,00;OP22-017-OTP-01;BIO_IB_CR;Biologie;IBENS
NA.51;375,00;OP22-017-OTP-01;BIO_IB_CR;Biologie;IBENS
NA.51;375,00;OP22-017-OTP-01;BIO_IB_CR;Biologie;IBENS
NA.51;30,00;OP22-017-OTP-01;BIO_IB_CR;Biologie;IBENS
NA.51;375,00;OP22-017-OTP-01;BIO_IB_CR;Biologie;IBENS
NA.51;375,00;OP22-017-OTP-01;BIO_IB_CR;Biologie;IBENS
NA.51;30,00;OP22-017-OTP-01;BIO_IB_CR;Biologie;IBENS
NA.51;85,00;OP22-017-OTP-01;BIO_IB_CR;Biologie;IBENS
NA.51;85,00;OP22-017-OTP-01;BIO_IB_CR;Biologie;IBENS
NA.51;85,00;OP22-017-OTP-01;BIO_IB_CR;Biologie;IBENS
NA.51;375,00;OP22-017-OTP-01;BIO_IB_CR;Biologie;IBENS
NA.51;30,00;OP22-017-OTP-01;BIO_IB_CR;Biologie;IBENS
NA.51;85,00;OP22-017-OTP-01;BIO_IB_CR;Biologie;IBENS
NA.51;375,00;OP22-017-OTP-01;BIO_IB_CR;Biologie;IBENS
NA.51;30,00;OP22-017-OTP-01;BIO_IB_CR;Biologie;IBENS
NA.51;60,00;OP22-017-OTP-01;BIO_IB_CR;Biologie;IBENS
NA.51;175,00;OP22-017-OTP-01;BIO_IB_CR;Biologie;IBENS
XC.21;50 757,00;OP16-045-OTP-01;BIO_IB_CR;Biologie;IBENS
XC.21;2 538,00;OP16-045-OTP-01;BIO_IB_CR;Biologie;IBENS
DC.01;315,50;OP20-039-OTP-01;BIO_IB_CR;Biologie;IBENS
CE.03;626,15;OP19-116-OTP-01;BIO_IB_CR;Biologie;IBENS
KC.31;151,64;PL_IBENS-OTP-01;BIO_IB1;Biologie;IBENS
KC.31;25,00;PL_IBENS-OTP-01;BIO_IB1;Biologie;IBENS
EC.01;17 500,00;PL_IBENS-OTP-01;BIO_IB1;Biologie;IBENS
ID.01;635,00;OP21-090-OTP-01;BIO_IB_CR;Biologie;IBENS
AC.31;1 125,00;OP21-090-OTP-01;BIO_IB_CR;Biologie;IBENS
NE.04;3 134,00;OP21-090-OTP-01;BIO_IB_CR;Biologie;IBENS
ID.01;2 541,00;OP21-090-OTP-01;BIO_IB_CR;Biologie;IBENS
KG.12;3 141,00;OP21-090-OTP-01;BIO_IB_CR;Biologie;IBENS
NA.31;198,00;PL_GENOM-OTP-01;BIO_IB1;Biologie;IBENS
XD.61;43,00;PL_GENOM-OTP-01;BIO_IB1;Biologie;IBENS
XD.19;1 258,00;OP19-137-OTP-01;BIO_CR;Biologie;IBENS
NA.47;935,10;OP20-128-OTP-01;BIO_IB_CR;Biologie;IBENS
NA.47;313,20;OP20-128-OTP-01;BIO_IB_CR;Biologie;IBENS
NA.47;393,50;OP20-128-OTP-01;BIO_IB_CR;Biologie;IBENS
NA.47;435,00;OP20-128-OTP-01;BIO_IB_CR;Biologie;IBENS
NA.47;435,00;OP20-128-OTP-01;BIO_IB_CR;Biologie;IBENS
NA.28;410,00;OP20-128-OTP-01;BIO_IB_CR;Biologie;IBENS
KA.02;309,20;OP20-128-OTP-01;BIO_IB_CR;Biologie;IBENS
FA.02;20,49;OP20-128-OTP-01;BIO_IB_CR;Biologie;IBENS
FC.11;21,97;OP20-128-OTP-01;BIO_IB_CR;Biologie;IBENS
NA.28;340,00;OP20-061-OTP-01;BIO_IB_CR;Biologie;IBENS
NA.28;30,00;OP20-061-OTP-01;BIO_IB_CR;Biologie;IBENS
DC.01;159,00;OP20-128-OTP-01;BIO_IB_CR;Biologie;IBENS
DC.01;235,00;OP20-039-OTP-01;BIO_IB_CR;Biologie;IBENS
XC.01;694,00;OP20-010-OTP-01;BIO_IB_CR;Biologie;IBENS
KG.05;18 764,00;OP20-061-OTP-01;BIO_IB_CR;Biologie;IBENS
RD.01;77,00;OP20-061-OTP-01;BIO_IB_CR;Biologie;IBENS
AC.31;639,00;OP20-061-OTP-01;BIO_IB_CR;Biologie;IBENS
NE.04;674,00;OP20-061-OTP-01;BIO_IB_CR;Biologie;IBENS
ID.01;243,00;OP20-061-OTP-01;BIO_IB_CR;Biologie;IBENS
KG.12;1 355,00;OP20-061-OTP-01;BIO_IB_CR;Biologie;IBENS
DC.01;128,00;OP20-013-OTP-01;BIO_IB_CR;Biologie;IBENS
DC.01;225,88;OP20-010-OTP-01;BIO_IB_CR;Biologie;IBENS
DC.01;235,50;OP20-010-OTP-01;BIO_IB_CR;Biologie;IBENS
JA.13;12 799,90;PL_IBENS-OTP-01;BIO_IB1;Biologie;IBENS
ND.32;738,88;OP22-102-OTP-01;BIO_IB_CR;Biologie;IBENS
ND.32;211,12;PL_GENOM-OTP-01;BIO_IB1;Biologie;IBENS
NA.41;512,00;OP20-128-OTP-01;BIO_IB_CR;Biologie;IBENS
NA.28;54,90;OP20-128-OTP-01;BIO_IB_CR;Biologie;IBENS
XD.61;80,00;OP20-128-OTP-01;BIO_IB_CR;Biologie;IBENS
KG.01;2 182,15;PL_IBENS-OTP-01;BIO_IB1;Biologie;IBENS
KG.01;2 182,15;PL_IBENS-OTP-01;BIO_IB1;Biologie;IBENS
KG.01;2 182,15;PL_IBENS-OTP-01;BIO_IB1;Biologie;IBENS
KG.01;2 182,15;PL_IBENS-OTP-01;BIO_IB1;Biologie;IBENS
OA.11;251,49;OP20-061-OTP-01;BIO_IB_CR;Biologie;IBENS
DC.01;198,00;PL_IBENS-OTP-01;BIO_IB1;Biologie;IBENS
DC.01;166,10;PL_IBENS-OTP-01;BIO_IB1;Biologie;IBENS
NB.17;935,10;OP20-128-OTP-01;BIO_IB_CR;Biologie;IBENS
NA.25;313,20;OP20-128-OTP-01;BIO_IB_CR;Biologie;IBENS
NA.32;393,50;OP20-128-OTP-01;BIO_IB_CR;Biologie;IBENS
DC.01;144,00;PL_IBENS-OTP-01;BIO_IB1;Biologie;IBENS
DC.01;156,45;PL_IBENS-OTP-01;BIO_IB1;Biologie;IBENS
NA.32;393,50;OP20-128-OTP-01;BIO_IB_CR;Biologie;IBENS
NA.32;435,00;OP20-128-OTP-01;BIO_IB_CR;Biologie;IBENS
NA.32;435,00;OP20-128-OTP-01;BIO_IB_CR;Biologie;IBENS
DC.01;166,10;PL_IBENS-OTP-01;BIO_IB1;Biologie;IBENS
DC.01;595,88;;BIO_IB1;Biologie;IBENS
NA.52;69,10;PL_GENOM-OTP-01;BIO_IB1;Biologie;IBENS
XD.61;58,00;PL_GENOM-OTP-01;BIO_IB1;Biologie;IBENS
NA.31;117,90;OP20-128-OTP-01;BIO_IB_CR;Biologie;IBENS
XD.61;40,00;OP20-128-OTP-01;BIO_IB_CR;Biologie;IBENS
NA.41;1 330,00;OP20-128-OTP-01;BIO_IB_CR;Biologie;IBENS
XD.61;35,00;OP20-128-OTP-01;BIO_IB_CR;Biologie;IBENS
NA.41;1 065,00;OP20-128-OTP-01;BIO_IB_CR;Biologie;IBENS
XD.61;15,00;OP20-128-OTP-01;BIO_IB_CR;Biologie;IBENS
DC.11;1 140,00;OP21-090-OTP-01;BIO_IB_CR;Biologie;IBENS
IA.25;83,60;OP22-103-OTP-01;BIO_IB_CR;Biologie;IBENS
XC.21;50 757,00;OP16-045-OTP-01;BIO_IB_CR;Biologie;IBENS
XC.21;2 538,00;OP16-045-OTP-01;BIO_IB_CR;Biologie;IBENS
ND.01;3 180,59;OP20-128-OTP-01;BIO_IB_CR;Biologie;IBENS
ND.01;686,22;OP20-024-OTP-01;BIO_IB_CR;Biologie;IBENS
AA.64;267,64;PL_IBENS-OTP-01;BIO_IB1;Biologie;IBENS
AA.64;23,42;PL_IBENS-OTP-01;BIO_IB1;Biologie;IBENS
AA.23;151,92;;BIO_IB1;Biologie;IBENS
NB.17;1 324,00;OP20-061-OTP-01;BIO_IB_CR;Biologie;IBENS
KA.02;78,64;OP20-128-OTP-01;BIO_IB_CR;Biologie;IBENS
KA.02;13,00;OP20-128-OTP-01;BIO_IB_CR;Biologie;IBENS
FA.02;21,97;OP20-128-OTP-01;BIO_IB_CR;Biologie;IBENS
KA.02;32,23;OP20-128-OTP-01;BIO_IB_CR;Biologie;IBENS
NA.47;80,40;OP20-128-OTP-01;BIO_IB_CR;Biologie;IBENS
NA.47;30,00;OP20-128-OTP-01;BIO_IB_CR;Biologie;IBENS
NA.41;310,50;OP20-128-OTP-01;BIO_IB_CR;Biologie;IBENS
AA.64;69,60;OP18-021-OTP-01;BIO_IB_CR;Biologie;IBENS
AA.64;80,40;OP18-021-OTP-01;BIO_IB_CR;Biologie;IBENS
AA.64;402,00;OP18-021-OTP-01;BIO_IB_CR;Biologie;IBENS
NB.35;119,70;OP20-128-OTP-01;BIO_IB_CR;Biologie;IBENS
NB.35;178,50;OP20-128-OTP-01;BIO_IB_CR;Biologie;IBENS
NB.35;99,76;OP20-128-OTP-01;BIO_IB_CR;Biologie;IBENS
NB.35;307,66;OP20-128-OTP-01;BIO_IB_CR;Biologie;IBENS
NB.35;121,80;OP20-128-OTP-01;BIO_IB_CR;Biologie;IBENS
NB.35;227,86;OP20-128-OTP-01;BIO_IB_CR;Biologie;IBENS
DC.11;1 371,00;OP21-090-OTP-01;BIO_IB_CR;Biologie;IBENS
DC.01;227,00;OP22-120-OTP-01;BIO_IB_CR;Biologie;IBENS
NA.47;324,75;OP20-128-OTP-01;BIO_IB_CR;Biologie;IBENS
XD.61;40,00;OP20-128-OTP-01;BIO_IB_CR;Biologie;IBENS
GA.55;593,35;OP20-128-OTP-01;BIO_IB_CR;Biologie;IBENS
XD.61;54,00;OP20-128-OTP-01;BIO_IB_CR;Biologie;IBENS
NA.21;68,70;OP20-128-OTP-01;BIO_IB_CR;Biologie;IBENS
NA.21;31,00;OP20-128-OTP-01;BIO_IB_CR;Biologie;IBENS
NA.21;23,90;OP20-128-OTP-01;BIO_IB_CR;Biologie;IBENS
NA.28;89,00;OP20-128-OTP-01;BIO_IB_CR;Biologie;IBENS
XD.61;25,00;OP20-128-OTP-01;BIO_IB_CR;Biologie;IBENS
CE.11;230,22;PL_IBENS-OTP-01;BIO_IB1;Biologie;IBENS
CE.11;968,00;PL_IBENS-OTP-01;BIO_IB1;Biologie;IBENS
BE.15;180,00;PL_IBENS-OTP-01;BIO_IB1;Biologie;IBENS
BE.15;180,00;PL_IBENS-OTP-01;BIO_IB1;Biologie;IBENS
AC.31;155,74;OP20-010-OTP-01;BIO_IB_CR;Biologie;IBENS
AC.31;5,00;OP20-010-OTP-01;BIO_IB_CR;Biologie;IBENS
NB.84;3 212,64;PL_IBENS-OTP-01;BIO_IB1;Biologie;IBENS
NB.84;3 212,64;PL_IBENS-OTP-01;BIO_IB1;Biologie;IBENS
NB.84;3 212,64;PL_IBENS-OTP-01;BIO_IB1;Biologie;IBENS
NB.84;252,00;PL_IBENS-OTP-01;BIO_IB1;Biologie;IBENS
NB.84;1 601,28;PL_IBENS-OTP-01;BIO_IB1;Biologie;IBENS
NB.84;128,00;PL_IBENS-OTP-01;BIO_IB1;Biologie;IBENS
NB.84;2 702,16;PL_IBENS-OTP-01;BIO_IB1;Biologie;IBENS
NB.84;2 702,16;PL_IBENS-OTP-01;BIO_IB1;Biologie;IBENS
NB.84;308,00;PL_IBENS-OTP-01;BIO_IB1;Biologie;IBENS
NB.84;4 083,92;PL_IBENS-OTP-01;BIO_IB1;Biologie;IBENS
NB.84;4 083,92;PL_IBENS-OTP-01;BIO_IB1;Biologie;IBENS
NB.84;600,02;PL_IBENS-OTP-01;BIO_IB1;Biologie;IBENS
NB.84;190,00;PL_IBENS-OTP-01;BIO_IB1;Biologie;IBENS
NB.84;122,00;;BIO_IB1;Biologie;IBENS
NB.84;470,00;;BIO_IB1;Biologie;IBENS
BE.15;180,00;PL_IBENS-OTP-01;BIO_IB1;Biologie;IBENS
ND.11;850,00;;BIO_IB1;Biologie;IBENS
BE.12;151,87;;BIO_IB1;Biologie;IBENS
BE.12;178,10;PL_IBENS-OTP-01;BIO_IB1;Biologie;IBENS
